Change ID,Target Table Type,Target Schema,Target Table,Target Column,Target Column Data Type,Stage DB Schema,Stage Table,Stage Column,Landing DB Schema,Landing Source Table,Landing Source Column,Source DB Schema,Source Table,Source Column,Source Data Type,Transformation,Comment,Package Name,Source Query,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,CustomerSK,BigInt,,,,,,,,,,,,Surrogate key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,CustomerBK,varchar,OLTP,Customers,customer_id,OLTP,Customers,customer_id,OLTP,Customers,customer_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,Name,nvarchar(255),OLTP,Customers,name,OLTP,Customers,name,OLTP,Customers,name,varchar,Trim whitespace,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,Email,nvarchar(255),OLTP,Customers,email,OLTP,Customers,email,OLTP,Customers,email,varchar,Validate format,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,Phone,nvarchar(50),OLTP,Customers,phone,OLTP,Customers,phone,OLTP,Customers,phone,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,Type,nvarchar(50),OLTP,Customers,type,OLTP,Customers,type,OLTP,Customers,type,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,City,nvarchar(100),OLTP,Customers,city,OLTP,Customers,city,OLTP,Customers,city,varchar,Uppercase,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,RecordIsLatest,int,,,,,,,Default 1,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,HashCode,nvarchar(255),,,,,,,MD5 hash of attributes,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,EndDate,Date,,,,,,,,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimCustomer,DWHEntryDate,Date,,,,,,,GETDATE(),Audit,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,EmployeeSK,BigInt,,,,,,,,,,,,Surrogate key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,EmployeeBK,varchar,OLTP,Employees,employee_id,OLTP,Employees,employee_id,OLTP,Employees,employee_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,FirstName,nvarchar(255),OLTP,Employees,first_name,OLTP,Employees,first_name,OLTP,Employees,first_name,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,LastName,nvarchar(255),OLTP,Employees,last_name,OLTP,Employees,last_name,OLTP,Employees,last_name,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,dob,date,OLTP,Employees,dob,OLTP,Employees,dob,OLTP,Employees,dob,int,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,Phone,nvarchar(50),OLTP,Employees,phone,OLTP,Employees,phone,OLTP,Employees,phone,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,Role,nvarchar(100),OLTP,Employees,role,OLTP,Employees,role,OLTP,Employees,role,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,WarehouseSK,BigInt,OLTP,Employees,warehouse_id,OLTP,Employees,warehouse_id,OLTP,Employees,warehouse_id,varchar,Lookup DimWarehouse(WarehouseBK),FK to DimWarehouse,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,RecordIsLatest,int,,,,,,,Default 1,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,HashCode,nvarchar(255),,,,,,,MD5 hash of attributes,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,EndDate,Date,,,,,,,,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimEmployee,DWHEntryDate,Date,,,,,,,GETDATE(),Audit,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,WarehouseSK,BigInt,,,,,,,,,,,,Surrogate key,,"SELECT  i.inventory_id AS WarehouseBK, i.name AS Name, i.city AS City, i.warehouse_id AS ParentWarehouseID, w.name AS ParentWarehouseName FROM OLTP.Inventory i LEFT JOIN OLTP.Warehouse w ON i.warehouse_id = w.warehouse_id",,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,WarehouseBK,varchar,OLTP,Inventories,inventory_id,OLTP,Inventories,inventory_id,OLTP,Inventories,inventory_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,ParentWarehouseBK,varchar,OLTP,Warehouse,warehouse_id,OLTP,Warehouse,warehouse_id,OLTP,Warehouse,warehouse_id,varchar,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,InventoryName,nvarchar(255),OLTP,Inventories,name,OLTP,Inventories,name,OLTP,Inventories,name,varchar,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,ParentWarehouseName,nvarchar(255),OLTP,Warehouse,name,OLTP,Warehouse,name,OLTP,Warehouse,name,varchar,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,City,nvarchar(255),OLTP,Warehouse,city,OLTP,Inventories,city,OLTP,Inventories,city,varchar,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,RecordIsLatest,int,,,,,,,Default 1,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,HashCode,nvarchar(255),,,,,,,MD5 hash of attributes,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,EndDate,Date,,,,,,,,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimWarehouse,DWHEntryDate,Date,,,,,,,GETDATE(),Audit,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ProductSK,BigInt,,,,,,,,,,,,Surrogate key,,"SELECT p.ProductSK, p.Product_id as ProductSK,  p.Name AS ProductName, p.Category, p.boxes_quantity,  p.is_cold, p.shelf_life, p.Description, p.cost_price, p.selling_price, s.supplier_id as SupplierBK, s.Name AS SupplierName, s.email AS SupplierEmail,s.phone AS SupplierPhone, s.Country AS SupplierCountry, p.IsLatest, p.hash_code, p.EndDate, p.DWHEntryDateFROM STG_Products pLEFT JOIN STG_suppliers s ON p.Supplier_id = s.supplier_id;",,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ProductBK,varchar,OLTP,Products,product_id,OLTP,Products,product_id,OLTP,Products,product_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
